from_matched_field	to_matched_field	n_male	n_female
MUS TH & COM	PHILOSOPHY	183	256
MUS TH & COM	PHYSICS	2	6
MUS TH & COM	POLITICAL SCI	61	339
MUS TH & COM	PSYCHOLOGY	37	193
MUS TH & COM	SOCIOLOLOGY	6	88
MUS TH & COM	SPANISH LIT	12	79
MUS TH & COM	STATISTICS	0	13
NEUROSCI	ANTHROPOLOGY	7	7
NEUROSCI	ARCHAEOLOGY	5	6
NEUROSCI	ART HISTORY	1	2
NEUROSCI	ASTRONOMY	95	57
NEUROSCI	BIOCHEMISTRY	63	53
NEUROSCI	CHEMISTRY	14	46
NEUROSCI	CLASSICS	202	56
NEUROSCI	COMMUNIC	9	46
NEUROSCI	COMP LIT	1	1
NEUROSCI	COMP SCI	28	148
NEUROSCI	EARTH SCI	50	263
NEUROSCI	ECONOMICS	14	87
NEUROSCI	EDUCATION	22	904
NEUROSCI	ENGINEERING	0	10
NEUROSCI	ENGLISH LIT	0	1
NEUROSCI	EVOLUTION BIO	1	48
NEUROSCI	HISTORY	157	161
NEUROSCI	LINGUISTICS	1	1
NEUROSCI	MATH	149	515
NEUROSCI	MID EAST STUD	12	47
NEUROSCI	MOLEC BIO	9	40
NEUROSCI	MUS TH & COM	125	50
NEUROSCI	NEUROSCI	35	182
NEUROSCI	PHILOSOPHY	15	29
NEUROSCI	PHYSICS	6	22
NEUROSCI	POLITICAL SCI	2	22
NEUROSCI	PSYCHOLOGY	11	436
NEUROSCI	SOCIOLOLOGY	8	6
NEUROSCI	SPANISH LIT	24	95
NEUROSCI	STATISTICS	87	42
PHILOSOPHY	ANTHROPOLOGY	10	17
PHILOSOPHY	ARCHAEOLOGY	18	31
PHILOSOPHY	ART HISTORY	238	515
PHILOSOPHY	ASTRONOMY	24	23
PHILOSOPHY	BIOCHEMISTRY	3	0
PHILOSOPHY	CHEMISTRY	161	70
PHILOSOPHY	CLASSICS	53	188
PHILOSOPHY	COMMUNIC	9	6
PHILOSOPHY	COMP LIT	17	86
PHILOSOPHY	COMP SCI	0	1
PHILOSOPHY	EARTH SCI	175	601
PHILOSOPHY	ECONOMICS	51	28
PHILOSOPHY	EDUCATION	3	53
PHILOSOPHY	ENGINEERING	9	24
PHILOSOPHY	ENGLISH LIT	12	10
PHILOSOPHY	EVOLUTION BIO	128	271
PHILOSOPHY	HISTORY	16	46
PHILOSOPHY	LINGUISTICS	44	184
PHILOSOPHY	MATH	20	41
PHILOSOPHY	MID EAST STUD	181	951
PHILOSOPHY	MOLEC BIO	8	20
PHILOSOPHY	MUS TH & COM	80	254
PHILOSOPHY	NEUROSCI	82	446
PHILOSOPHY	PHILOSOPHY	15	87
PHILOSOPHY	PHYSICS	83	102
PHILOSOPHY	POLITICAL SCI	62	129
PHILOSOPHY	PSYCHOLOGY	7	12
PHILOSOPHY	SOCIOLOLOGY	85	154
PHILOSOPHY	SPANISH LIT	10	19
PHILOSOPHY	STATISTICS	329	296
PHYSICS	ANTHROPOLOGY	27	6
PHYSICS	ARCHAEOLOGY	162	93
PHYSICS	ART HISTORY	85	5
PHYSICS	ASTRONOMY	187	83
PHYSICS	BIOCHEMISTRY	48	12
PHYSICS	CHEMISTRY	23	6
PHYSICS	CLASSICS	19	25
PHYSICS	COMMUNIC	10	3
PHYSICS	COMP LIT	144	261
PHYSICS	COMP SCI	12	1
PHYSICS	EARTH SCI	35	22
PHYSICS	ECONOMICS	55	38
PHYSICS	EDUCATION	4	10
PHYSICS	ENGINEERING	50	36
PHYSICS	ENGLISH LIT	26	41
PHYSICS	EVOLUTION BIO	428	201
PHYSICS	HISTORY	91	29
PHYSICS	LINGUISTICS	278	321
PHYSICS	MATH	14	18
PHYSICS	MID EAST STUD	6	1
PHYSICS	MOLEC BIO	123	65
PHYSICS	MUS TH & COM	118	8
PHYSICS	NEUROSCI	61	15
PHYSICS	PHILOSOPHY	374	40
PHYSICS	PHYSICS	49	12
PHYSICS	POLITICAL SCI	5	0
PHYSICS	PSYCHOLOGY	9	6
PHYSICS	SOCIOLOLOGY	186	50
PHYSICS	SPANISH LIT	95	61
PHYSICS	STATISTICS	55	38
POLITICAL SCI	ANTHROPOLOGY	31	43
POLITICAL SCI	ARCHAEOLOGY	45	5
POLITICAL SCI	ART HISTORY	288	75
POLITICAL SCI	ASTRONOMY	10	8
POLITICAL SCI	BIOCHEMISTRY	83	23
POLITICAL SCI	CHEMISTRY	183	10
POLITICAL SCI	CLASSICS	6	2
POLITICAL SCI	COMMUNIC	20	8
POLITICAL SCI	COMP LIT	85	4
POLITICAL SCI	COMP SCI	54	21
POLITICAL SCI	EARTH SCI	0	0
POLITICAL SCI	ECONOMICS	116	31
POLITICAL SCI	EDUCATION	1	0
POLITICAL SCI	ENGINEERING	583	124
POLITICAL SCI	ENGLISH LIT	585	131
POLITICAL SCI	EVOLUTION BIO	143	94
POLITICAL SCI	HISTORY	134	26
POLITICAL SCI	LINGUISTICS	265	41
POLITICAL SCI	MATH	1	0
POLITICAL SCI	MID EAST STUD	12	0
POLITICAL SCI	MOLEC BIO	14	2
POLITICAL SCI	MUS TH & COM	264	44
POLITICAL SCI	NEUROSCI	49	0
POLITICAL SCI	PHILOSOPHY	176	271
POLITICAL SCI	PHYSICS	19	2
POLITICAL SCI	POLITICAL SCI	10	3
POLITICAL SCI	PSYCHOLOGY	15	3
POLITICAL SCI	SOCIOLOLOGY	57	14
POLITICAL SCI	SPANISH LIT	15	12
POLITICAL SCI	STATISTICS	13	0
PSYCHOLOGY	ANTHROPOLOGY	23	28
PSYCHOLOGY	ARCHAEOLOGY	324	222
PSYCHOLOGY	ART HISTORY	1	5
PSYCHOLOGY	ASTRONOMY	161	146
PSYCHOLOGY	BIOCHEMISTRY	75	31
PSYCHOLOGY	CHEMISTRY	134	399
PSYCHOLOGY	CLASSICS	41	233
PSYCHOLOGY	COMMUNIC	69	69
PSYCHOLOGY	COMP LIT	2	10
PSYCHOLOGY	COMP SCI	20	46
PSYCHOLOGY	EARTH SCI	5	15
PSYCHOLOGY	ECONOMICS	28	13
PSYCHOLOGY	EDUCATION	10	13
PSYCHOLOGY	ENGINEERING	3	12
PSYCHOLOGY	ENGLISH LIT	18	8
PSYCHOLOGY	EVOLUTION BIO	30	27
PSYCHOLOGY	HISTORY	96	253
PSYCHOLOGY	LINGUISTICS	39	32
PSYCHOLOGY	MATH	375	331
PSYCHOLOGY	MID EAST STUD	6	6
PSYCHOLOGY	MOLEC BIO	204	40
PSYCHOLOGY	MUS TH & COM	10	16
PSYCHOLOGY	NEUROSCI	6	12
PSYCHOLOGY	PHILOSOPHY	11	11
PSYCHOLOGY	PHYSICS	5	0
PSYCHOLOGY	POLITICAL SCI	74	298
PSYCHOLOGY	PSYCHOLOGY	63	150
PSYCHOLOGY	SOCIOLOLOGY	135	77
PSYCHOLOGY	SPANISH LIT	35	51
PSYCHOLOGY	STATISTICS	16	22
SOCIOLOLOGY	ANTHROPOLOGY	67	20
SOCIOLOLOGY	ARCHAEOLOGY	357	278
SOCIOLOLOGY	ART HISTORY	357	562
SOCIOLOLOGY	ASTRONOMY	492	415
SOCIOLOLOGY	BIOCHEMISTRY	31	30
SOCIOLOLOGY	CHEMISTRY	30	41
SOCIOLOLOGY	CLASSICS	200	623
SOCIOLOLOGY	COMMUNIC	136	9
SOCIOLOLOGY	COMP LIT	63	37
SOCIOLOLOGY	COMP SCI	40	54
SOCIOLOLOGY	EARTH SCI	69	86
SOCIOLOLOGY	ECONOMICS	16	6
SOCIOLOLOGY	EDUCATION	89	86
SOCIOLOLOGY	ENGINEERING	5	18
SOCIOLOLOGY	ENGLISH LIT	541	433
SOCIOLOLOGY	EVOLUTION BIO	51	9
SOCIOLOLOGY	HISTORY	6	1
SOCIOLOLOGY	LINGUISTICS	6	5
SOCIOLOLOGY	MATH	80	99
SOCIOLOLOGY	MID EAST STUD	139	38
SOCIOLOLOGY	MOLEC BIO	568	189
SOCIOLOLOGY	MUS TH & COM	116	14
SOCIOLOLOGY	NEUROSCI	22	8
SOCIOLOLOGY	PHILOSOPHY	110	203
SOCIOLOLOGY	PHYSICS	109	299
SOCIOLOLOGY	POLITICAL SCI	83	125
SOCIOLOLOGY	PSYCHOLOGY	40	20
SOCIOLOLOGY	SOCIOLOLOGY	188	16
SOCIOLOLOGY	SPANISH LIT	280	105
SOCIOLOLOGY	STATISTICS	16	0
SPANISH LIT	ANTHROPOLOGY	104	393
SPANISH LIT	ARCHAEOLOGY	167	109
SPANISH LIT	ART HISTORY	13	18
SPANISH LIT	ASTRONOMY	185	80
SPANISH LIT	BIOCHEMISTRY	62	15
SPANISH LIT	CHEMISTRY	5	9
SPANISH LIT	CLASSICS	28	29
SPANISH LIT	COMMUNIC	94	155
SPANISH LIT	COMP LIT	11	46
SPANISH LIT	COMP SCI	47	63
SPANISH LIT	EARTH SCI	13	18
SPANISH LIT	ECONOMICS	49	267
SPANISH LIT	EDUCATION	67	371
SPANISH LIT	ENGINEERING	7	28
SPANISH LIT	ENGLISH LIT	3	26
SPANISH LIT	EVOLUTION BIO	418	242
SPANISH LIT	HISTORY	23	15
SPANISH LIT	LINGUISTICS	77	127
SPANISH LIT	MATH	18	87
SPANISH LIT	MID EAST STUD	2	11
SPANISH LIT	MOLEC BIO	60	98
SPANISH LIT	MUS TH & COM	37	17
SPANISH LIT	NEUROSCI	266	864
SPANISH LIT	PHILOSOPHY	2	12
SPANISH LIT	PHYSICS	3	11
SPANISH LIT	POLITICAL SCI	206	74
SPANISH LIT	PSYCHOLOGY	4	30
SPANISH LIT	SOCIOLOLOGY	48	107
SPANISH LIT	SPANISH LIT	26	83
SPANISH LIT	STATISTICS	23	50
STATISTICS	ANTHROPOLOGY	435	187
STATISTICS	ARCHAEOLOGY	6	13
STATISTICS	ART HISTORY	22	2
STATISTICS	ASTRONOMY	47	21
STATISTICS	BIOCHEMISTRY	3	1
STATISTICS	CHEMISTRY	190	217
STATISTICS	CLASSICS	7	7
STATISTICS	COMMUNIC	0	1
STATISTICS	COMP LIT	2	1
STATISTICS	COMP SCI	84	10
STATISTICS	EARTH SCI	79	133
STATISTICS	ECONOMICS	41	60
STATISTICS	EDUCATION	49	21
STATISTICS	ENGINEERING	42	8
STATISTICS	ENGLISH LIT	64	114
STATISTICS	EVOLUTION BIO	0	2
STATISTICS	HISTORY	202	116
STATISTICS	LINGUISTICS	346	38
STATISTICS	MATH	16	15
STATISTICS	MID EAST STUD	43	19
STATISTICS	MOLEC BIO	211	419
STATISTICS	MUS TH & COM	50	9
STATISTICS	NEUROSCI	1	8
STATISTICS	PHILOSOPHY	135	65
STATISTICS	PHYSICS	388	143
STATISTICS	POLITICAL SCI	19	10
STATISTICS	PSYCHOLOGY	139	15
STATISTICS	SOCIOLOLOGY	15	18
STATISTICS	SPANISH LIT	76	26
STATISTICS	STATISTICS	72	135
